colonne,nb_manquants,pct_manquants
lartpc,125104,99.93
occutc,122980,98.24
etatp_lib,114932,91.81
etatp,114932,91.81
secu3,113133,90.37
secu3_lib,113133,90.37
v2,112016,89.48
larrout,78997,63.1
locp,61771,49.34
locp_lib,61771,49.34
actp_lib,61763,49.34
actp,61726,49.31
secu2_lib,53813,42.99
secu2,53813,42.99
pr1,40228,32.13
pr,38962,31.12
v1,25697,20.53
voie,15205,12.15
circ,7801,6.23
circ_lib,7801,6.23
adr,5679,4.54
nbv,3928,3.14
vma,3420,2.73
vosp_lib,2730,2.18
vosp,2730,2.18
trajet,2626,2.1
trajet_lib,2626,2.1
an_nais,2579,2.06
sexe_lib,2395,1.91
sexe,2395,1.91
secu1_lib,2103,1.68
secu1,2103,1.68
infra,1197,0.96
infra_lib,1197,0.96
motor_lib,240,0.19
motor,240,0.19
senc,83,0.07
senc_lib,83,0.07
choc_lib,56,0.04
choc,56,0.04
obsm_lib,35,0.03
obs_lib,35,0.03
obsm,35,0.03
obs,35,0.03
manv_lib,31,0.02
manv,31,0.02
prof,19,0.02
prof_lib,19,0.02
plan_lib,17,0.01
plan,17,0.01
col_lib,13,0.01
col,13,0.01
surf,12,0.01
surf_lib,12,0.01
situ,10,0.01
situ_lib,10,0.01
place,3,0.0
catv_lib,1,0.0
catv,1,0.0
catr_lib,0,0.0
num_acc,0,0.0
catr,0,0.0
atm_lib,0,0.0
id_vehicule,0,0.0
catu,0,0.0
grav,0,0.0
catu_lib,0,0.0
grav_lib,0,0.0
jour,0,0.0
mois,0,0.0
id_usager,0,0.0
hrmn,0,0.0
lum,0,0.0
dep,0,0.0
com,0,0.0
agg,0,0.0
int,0,0.0
atm,0,0.0
lat,0,0.0
long,0,0.0
date_heure,0,0.0
lum_lib,0,0.0
agg_lib,0,0.0
int_lib,0,0.0
an,0,0.0
